Train No,Train Name,Start Node,End Node,Arrival time,Type,Movement
12000,Demonstration Service 001,DSA-WEST-UP-ENTRY,DSA-EAST-UP-EXIT,00:00:00,Vande Bharat,PLATFORM_LOOP
12001,Demonstration Service 002,DSA-WEST-UP-ENTRY,DSA-EAST-UP-EXIT,00:00:00,Shatabdi,PLATFORM_LOOP
12002,Demonstration Service 003,DSA-EAST-DN-ENTRY,DSA-WEST-DN-EXIT,00:04:00,Rajdhani,PLATFORM_LOOP
12003,Demonstration Service 004,DSA-EAST-DN-ENTRY,DSA-WEST-DN-EXIT,00:04:00,Passenger,PLATFORM_LOOP
12004,Demonstration Service 005,DSA-WEST-UP-ENTRY,DSA-EAST-UP-EXIT,00:08:00,MEMU,PLATFORM_LOOP
12005,Demonstration Service 006,DSA-WEST-UP-ENTRY,DSA-EAST-UP-EXIT,00:08:00,Express,PLATFORM_LOOP
12006,Demonstration Service 007,DSA-EAST-DN-ENTRY,DSA-WEST-DN-EXIT,00:12:00,Freight,PLATFORM_LOOP
12007,Demonstration Service 008,DSA-EAST-DN-ENTRY,DSA-WEST-DN-EXIT,00:12:00,Vande Bharat,PLATFORM_LOOP
12008,Demonstration Service 009,DSA-WEST-UP-ENTRY,DSA-EAST-UP-EXIT,00:16:00,Shatabdi,PLATFORM_LOOP
12009,Demonstration Service 010,DSA-WEST-UP-ENTRY,DSA-EAST-UP-EXIT,00:16:00,Rajdhani,PLATFORM_LOOP
12010,Demonstration Service 011,DSA-EAST-DN-ENTRY,DSA-WEST-DN-EXIT,00:20:00,Passenger,PLATFORM_LOOP
12011,Demonstration Service 012,DSA-EAST-DN-ENTRY,DSA-WEST-DN-EXIT,00:20:00,MEMU,PLATFORM_LOOP
